SNAPSHOT_FISCAL_YEAR,SNAPSHOT_FISCAL_YEAR_PERIOD_x,customer,customer_TEXT,customer_INDUSTRY_DESC,customer_OFFICE_DESC,customer_REGION_DESC,customer_SECTOR_DESC,customer_SIC_TEXT,customer_SUB_SECTOR_DESC,OPPORTUNITY_OPEN_CLOSED_INDICATOR,PHASE_NAME,PURSUIT_START_DATE,PROJECT_START_DATE,PROJECT_END_DATE,PERIOD_WON_LOSS_ABANDONED,DATE_WON_LOSS_ABANDONED,PRIORITY,Product_Category4_id,Product_Category2_text,Product_Category3_text,PURSUIT_LEADER,BUYER_ROLE_DESC,CURRENCY,PROBABILITY_PRC,WEIGHTED_Sales,Total_Sales,STRATEGIC_OPPORTUNITY,SNAPSHOT_FY,SNAPSHOT_FP,SNAPSHOT_FISCAL_YEAR_PERIOD_y,OPPORTUNITY_ID,Year
2019,2019012,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,1629.0,category18,sub category116,10171.0,CIO/VP MIS,USD,100,0.0,3000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2019,2019007,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,2013.0,category51,sub category8,10171.0,CIO/VP MIS,USD,100,0.0,3000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2019,2019007,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,2013.0,category51,sub category8,10171.0,CIO/VP MIS,USD,100,0.0,4000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2019,2019007,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,1629.0,category18,sub category116,10171.0,CIO/VP MIS,USD,100,0.0,3000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2019,2019009,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,2013.0,category51,sub category8,10171.0,CIO/VP MIS,USD,100,0.0,3000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2019,2019009,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,2013.0,category51,sub category8,10171.0,CIO/VP MIS,USD,100,0.0,4000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2019,2019009,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,1629.0,category18,sub category116,10171.0,CIO/VP MIS,USD,100,0.0,3000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2019,2019011,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,2013.0,category51,sub category8,10171.0,CIO/VP MIS,USD,100,0.0,3000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2019,2019011,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,2013.0,category51,sub category8,10171.0,CIO/VP MIS,USD,100,0.0,4000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2019,2019011,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,1629.0,category18,sub category116,10171.0,CIO/VP MIS,USD,100,0.0,3000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2020,2020004,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,2013.0,category51,sub category8,10171.0,CIO/VP MIS,USD,100,0.0,3000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2020,2020004,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,2013.0,category51,sub category8,10171.0,CIO/VP MIS,USD,100,0.0,4000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2020,2020004,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,1629.0,category18,sub category116,10171.0,CIO/VP MIS,USD,100,0.0,3000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2020,2020005,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,2013.0,category51,sub category8,10171.0,CIO/VP MIS,USD,100,0.0,3000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2020,2020005,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,2013.0,category51,sub category8,10171.0,CIO/VP MIS,USD,100,0.0,4000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2020,2020005,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,1629.0,category18,sub category116,10171.0,CIO/VP MIS,USD,100,0.0,3000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2019,2019010,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,2013.0,category51,sub category8,10171.0,CIO/VP MIS,USD,100,0.0,3000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2019,2019010,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,2013.0,category51,sub category8,10171.0,CIO/VP MIS,USD,100,0.0,4000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2019,2019010,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,1629.0,category18,sub category116,10171.0,CIO/VP MIS,USD,100,0.0,3000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2020,2020007,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,2013.0,category51,sub category8,10171.0,CIO/VP MIS,USD,100,0.0,3000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2020,2020007,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,2013.0,category51,sub category8,10171.0,CIO/VP MIS,USD,100,0.0,4000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2020,2020007,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,1629.0,category18,sub category116,10171.0,CIO/VP MIS,USD,100,0.0,3000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2019,2019008,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,2013.0,category51,sub category8,10171.0,CIO/VP MIS,USD,100,0.0,3000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2019,2019008,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,2013.0,category51,sub category8,10171.0,CIO/VP MIS,USD,100,0.0,4000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2019,2019008,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,1629.0,category18,sub category116,10171.0,CIO/VP MIS,USD,100,0.0,3000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2020,2020003,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,2013.0,category51,sub category8,10171.0,CIO/VP MIS,USD,100,0.0,3000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2020,2020003,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,2013.0,category51,sub category8,10171.0,CIO/VP MIS,USD,100,0.0,4000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2020,2020003,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,1629.0,category18,sub category116,10171.0,CIO/VP MIS,USD,100,0.0,3000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2020,2020002,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,2013.0,category51,sub category8,10171.0,CIO/VP MIS,USD,100,0.0,3000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2020,2020002,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,2013.0,category51,sub category8,10171.0,CIO/VP MIS,USD,100,0.0,4000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2020,2020002,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,1629.0,category18,sub category116,10171.0,CIO/VP MIS,USD,100,0.0,3000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2020,2020002,24005214.0,customer10656,industry5,SAN FRANCISCO (INCL. OAKLAND),US - West,Sector13,SIC774,Sub Sector8,CLOSED,Won,2019-10-08,2019-12-02,2019-12-31,Period 07 2020,2019-11-20,High,1686.0,category21,sub category48,17626.0,Director/Manager â€“ Other,USD,100,0.0,189000,POSITIONING WITH A KEY CLIENT,2020,7,2020007,MO-2989591,2019
2019,2019011,24005214.0,customer10656,industry5,SAN FRANCISCO (INCL. OAKLAND),US - West,Sector13,SIC774,Sub Sector8,CLOSED,Won,2019-10-08,2019-12-02,2019-12-31,Period 07 2020,2019-11-20,High,1686.0,category21,sub category48,17626.0,Director/Manager â€“ Other,USD,100,0.0,189000,POSITIONING WITH A KEY CLIENT,2020,7,2020007,MO-2989591,2019
2020,2020005,24005214.0,customer10656,industry5,SAN FRANCISCO (INCL. OAKLAND),US - West,Sector13,SIC774,Sub Sector8,CLOSED,Won,2019-10-08,2019-12-02,2019-12-31,Period 07 2020,2019-11-20,High,1686.0,category21,sub category48,17626.0,Director/Manager â€“ Other,USD,100,0.0,189000,POSITIONING WITH A KEY CLIENT,2020,7,2020007,MO-2989591,2019
2020,2020007,24005214.0,customer10656,industry5,SAN FRANCISCO (INCL. OAKLAND),US - West,Sector13,SIC774,Sub Sector8,CLOSED,Won,2019-10-08,2019-12-02,2019-12-31,Period 07 2020,2019-11-20,High,1686.0,category21,sub category48,17626.0,Director/Manager â€“ Other,USD,100,0.0,189000,POSITIONING WITH A KEY CLIENT,2020,7,2020007,MO-2989591,2019
2019,2019008,24005214.0,customer10656,industry5,SAN FRANCISCO (INCL. OAKLAND),US - West,Sector13,SIC774,Sub Sector8,CLOSED,Won,2019-10-08,2019-12-02,2019-12-31,Period 07 2020,2019-11-20,High,1686.0,category21,sub category48,17626.0,Director/Manager â€“ Other,USD,100,0.0,189000,POSITIONING WITH A KEY CLIENT,2020,7,2020007,MO-2989591,2019
2019,2019012,24005214.0,customer10656,industry5,SAN FRANCISCO (INCL. OAKLAND),US - West,Sector13,SIC774,Sub Sector8,CLOSED,Won,2019-10-08,2019-12-02,2019-12-31,Period 07 2020,2019-11-20,High,1686.0,category21,sub category48,17626.0,Director/Manager â€“ Other,USD,100,0.0,189000,POSITIONING WITH A KEY CLIENT,2020,7,2020007,MO-2989591,2019
2019,2019013,24005214.0,customer10656,industry5,SAN FRANCISCO (INCL. OAKLAND),US - West,Sector13,SIC774,Sub Sector8,CLOSED,Won,2019-10-08,2019-12-02,2019-12-31,Period 07 2020,2019-11-20,High,1686.0,category21,sub category48,17626.0,Director/Manager â€“ Other,USD,100,0.0,189000,POSITIONING WITH A KEY CLIENT,2020,7,2020007,MO-2989591,2019
2019,2019010,24005214.0,customer10656,industry5,SAN FRANCISCO (INCL. OAKLAND),US - West,Sector13,SIC774,Sub Sector8,CLOSED,Won,2019-10-08,2019-12-02,2019-12-31,Period 07 2020,2019-11-20,High,1686.0,category21,sub category48,17626.0,Director/Manager â€“ Other,USD,100,0.0,189000,POSITIONING WITH A KEY CLIENT,2020,7,2020007,MO-2989591,2019
2020,2020001,24005214.0,customer10656,industry5,SAN FRANCISCO (INCL. OAKLAND),US - West,Sector13,SIC774,Sub Sector8,CLOSED,Won,2019-10-08,2019-12-02,2019-12-31,Period 07 2020,2019-11-20,High,1686.0,category21,sub category48,17626.0,Director/Manager â€“ Other,USD,100,0.0,189000,POSITIONING WITH A KEY CLIENT,2020,7,2020007,MO-2989591,2019
2020,2020004,24005214.0,customer10656,industry5,SAN FRANCISCO (INCL. OAKLAND),US - West,Sector13,SIC774,Sub Sector8,CLOSED,Won,2019-10-08,2019-12-02,2019-12-31,Period 07 2020,2019-11-20,High,1686.0,category21,sub category48,17626.0,Director/Manager â€“ Other,USD,100,0.0,189000,POSITIONING WITH A KEY CLIENT,2020,7,2020007,MO-2989591,2019
2019,2019007,24005214.0,customer10656,industry5,SAN FRANCISCO (INCL. OAKLAND),US - West,Sector13,SIC774,Sub Sector8,CLOSED,Won,2019-10-08,2019-12-02,2019-12-31,Period 07 2020,2019-11-20,High,1686.0,category21,sub category48,17626.0,Director/Manager â€“ Other,USD,100,0.0,189000,POSITIONING WITH A KEY CLIENT,2020,7,2020007,MO-2989591,2019
2020,2020006,24005214.0,customer10656,industry5,SAN FRANCISCO (INCL. OAKLAND),US - West,Sector13,SIC774,Sub Sector8,CLOSED,Won,2019-10-08,2019-12-02,2019-12-31,Period 07 2020,2019-11-20,High,1686.0,category21,sub category48,17626.0,Director/Manager â€“ Other,USD,100,0.0,189000,POSITIONING WITH A KEY CLIENT,2020,7,2020007,MO-2989591,2019
2019,2019009,24005214.0,customer10656,industry5,SAN FRANCISCO (INCL. OAKLAND),US - West,Sector13,SIC774,Sub Sector8,CLOSED,Won,2019-10-08,2019-12-02,2019-12-31,Period 07 2020,2019-11-20,High,1686.0,category21,sub category48,17626.0,Director/Manager â€“ Other,USD,100,0.0,189000,POSITIONING WITH A KEY CLIENT,2020,7,2020007,MO-2989591,2019
2020,2020003,24005214.0,customer10656,industry5,SAN FRANCISCO (INCL. OAKLAND),US - West,Sector13,SIC774,Sub Sector8,CLOSED,Won,2019-10-08,2019-12-02,2019-12-31,Period 07 2020,2019-11-20,High,1686.0,category21,sub category48,17626.0,Director/Manager â€“ Other,USD,100,0.0,189000,POSITIONING WITH A KEY CLIENT,2020,7,2020007,MO-2989591,2019
2019,2019012,24008709.0,customer14117,industry5,STAMFORD,US - East,Sector7,SIC394,Sub Sector22,CLOSED,Won,2019-06-26,2019-07-11,2019-08-30,Period 02 2020,2019-07-08,High,1860.0,category8,sub category64,21045.0,CIO/VP MIS,USD,100,0.0,375000,POSITIONING WITH A KEY CLIENT,2020,2,2020002,MO-2874751,2019
2019,2019010,24008709.0,customer14117,industry5,STAMFORD,US - East,Sector7,SIC394,Sub Sector22,CLOSED,Won,2019-06-26,2019-07-11,2019-08-30,Period 02 2020,2019-07-08,High,1860.0,category8,sub category64,21045.0,CIO/VP MIS,USD,100,0.0,375000,POSITIONING WITH A KEY CLIENT,2020,2,2020002,MO-2874751,2019
2020,2020003,24008709.0,customer14117,industry5,STAMFORD,US - East,Sector7,SIC394,Sub Sector22,CLOSED,Won,2019-06-26,2019-07-11,2019-08-30,Period 02 2020,2019-07-08,High,1860.0,category8,sub category64,21045.0,CIO/VP MIS,USD,100,0.0,375000,POSITIONING WITH A KEY CLIENT,2020,2,2020002,MO-2874751,2019
2019,2019009,24008709.0,customer14119,industry5,STAMFORD,US - East,Sector7,SIC450,Sub Sector22,CLOSED,Won,2019-06-26,2019-07-11,2019-08-30,Period 02 2020,2019-07-08,High,1860.0,category8,sub category64,21045.0,CIO/VP MIS,USD,100,0.0,375000,POSITIONING WITH A KEY CLIENT,2020,2,2020002,MO-2874751,2019
2019,2019013,24008709.0,customer14117,industry5,STAMFORD,US - East,Sector7,SIC394,Sub Sector22,CLOSED,Won,2019-06-26,2019-07-11,2019-08-30,Period 02 2020,2019-07-08,High,1860.0,category8,sub category64,21045.0,CIO/VP MIS,USD,100,0.0,375000,POSITIONING WITH A KEY CLIENT,2020,2,2020002,MO-2874751,2019
2020,2020006,24008709.0,customer14117,industry5,STAMFORD,US - East,Sector7,SIC394,Sub Sector22,CLOSED,Won,2019-06-26,2019-07-11,2019-08-30,Period 02 2020,2019-07-08,High,1860.0,category8,sub category64,21045.0,CIO/VP MIS,USD,100,0.0,375000,POSITIONING WITH A KEY CLIENT,2020,2,2020002,MO-2874751,2019
2019,2019007,24008709.0,customer14117,industry5,STAMFORD,US - East,Sector7,SIC394,Sub Sector22,CLOSED,Won,2019-06-26,2019-07-11,2019-08-30,Period 02 2020,2019-07-08,High,1860.0,category8,sub category64,21045.0,CIO/VP MIS,USD,100,0.0,375000,POSITIONING WITH A KEY CLIENT,2020,2,2020002,MO-2874751,2019
2020,2020002,24008709.0,customer14117,industry5,STAMFORD,US - East,Sector7,SIC394,Sub Sector22,CLOSED,Won,2019-06-26,2019-07-11,2019-08-30,Period 02 2020,2019-07-08,High,1860.0,category8,sub category64,21045.0,CIO/VP MIS,USD,100,0.0,375000,POSITIONING WITH A KEY CLIENT,2020,2,2020002,MO-2874751,2019
2020,2020004,24008709.0,customer14117,industry5,STAMFORD,US - East,Sector7,SIC394,Sub Sector22,CLOSED,Won,2019-06-26,2019-07-11,2019-08-30,Period 02 2020,2019-07-08,High,1860.0,category8,sub category64,21045.0,CIO/VP MIS,USD,100,0.0,375000,POSITIONING WITH A KEY CLIENT,2020,2,2020002,MO-2874751,2019
2019,2019007,24008709.0,customer14119,industry5,STAMFORD,US - East,Sector7,SIC450,Sub Sector22,CLOSED,Won,2019-06-26,2019-07-11,2019-08-30,Period 02 2020,2019-07-08,High,1860.0,category8,sub category64,21045.0,CIO/VP MIS,USD,100,0.0,375000,POSITIONING WITH A KEY CLIENT,2020,2,2020002,MO-2874751,2019
2019,2019011,24008709.0,customer14117,industry5,STAMFORD,US - East,Sector7,SIC394,Sub Sector22,CLOSED,Won,2019-06-26,2019-07-11,2019-08-30,Period 02 2020,2019-07-08,High,1860.0,category8,sub category64,21045.0,CIO/VP MIS,USD,100,0.0,375000,POSITIONING WITH A KEY CLIENT,2020,2,2020002,MO-2874751,2019
2020,2020007,24008709.0,customer14117,industry5,STAMFORD,US - East,Sector7,SIC394,Sub Sector22,CLOSED,Won,2019-06-26,2019-07-11,2019-08-30,Period 02 2020,2019-07-08,High,1860.0,category8,sub category64,21045.0,CIO/VP MIS,USD,100,0.0,375000,POSITIONING WITH A KEY CLIENT,2020,2,2020002,MO-2874751,2019
2020,2020005,24008709.0,customer14117,industry5,STAMFORD,US - East,Sector7,SIC394,Sub Sector22,CLOSED,Won,2019-06-26,2019-07-11,2019-08-30,Period 02 2020,2019-07-08,High,1860.0,category8,sub category64,21045.0,CIO/VP MIS,USD,100,0.0,375000,POSITIONING WITH A KEY CLIENT,2020,2,2020002,MO-2874751,2019
2020,2020001,24008709.0,customer14117,industry5,STAMFORD,US - East,Sector7,SIC394,Sub Sector22,CLOSED,Won,2019-06-26,2019-07-11,2019-08-30,Period 02 2020,2019-07-08,High,1860.0,category8,sub category64,21045.0,CIO/VP MIS,USD,100,0.0,375000,POSITIONING WITH A KEY CLIENT,2020,2,2020002,MO-2874751,2019
2019,2019008,24008709.0,customer14119,industry5,STAMFORD,US - East,Sector7,SIC450,Sub Sector22,CLOSED,Won,2019-06-26,2019-07-11,2019-08-30,Period 02 2020,2019-07-08,High,1860.0,category8,sub category64,21045.0,CIO/VP MIS,USD,100,0.0,375000,POSITIONING WITH A KEY CLIENT,2020,2,2020002,MO-2874751,2019
2019,2019008,24008709.0,customer14117,industry5,STAMFORD,US - East,Sector7,SIC394,Sub Sector22,CLOSED,Won,2019-06-26,2019-07-11,2019-08-30,Period 02 2020,2019-07-08,High,1860.0,category8,sub category64,21045.0,CIO/VP MIS,USD,100,0.0,375000,POSITIONING WITH A KEY CLIENT,2020,2,2020002,MO-2874751,2019
